kegg_number	RH_1_DKDN250001555-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_2_DKDN250001556-1A_22VYGNLT3_L3_kegg_hits.tsv	RH_2_DKDN250001556-1A_22W2JCLT3_L1_kegg_hits.tsv	RH_3_DKDN250001557-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_5_DKDN250001558-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_8_DKDN250001559-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_1_DKDN250001546-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_2_DKDN250001547-1A_22Y2CMLT3_L2_kegg_hits.tsv	carK_4_DKDN250001548-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_8_DKDN250001549-1A_22Y2CMLT3_L2_kegg_hits.tsv	carK_9_DKDN250001550-1A_22KVLLLT4_L8_kegg_hits.tsv	carR_10_DKDN250001554-1A_22VYGNLT3_L3_kegg_hits.tsv	carR_10_DKDN250001554-1A_22W2JCLT3_L1_kegg_hits.tsv	carR_1_DKDN250001551-1A_22VYGNLT3_L3_kegg_hits.tsv	carR_1_DKDN250001551-1A_22W2JCLT3_L1_kegg_hits.tsv	carR_5_DKDN250001552-1A_22KVLLLT4_L6_kegg_hits.tsv	carR_9_DKDN250001553-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_1_DKDN250001560-1A_22VYGNLT3_L3_kegg_hits.tsv	ces_3_DKDN250001561-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_5_DKDN250001562-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_6_DKDN250001563-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_7_DKDN250001564-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_1_DKDN250001570-1A_22VYGNLT3_L3_kegg_hits.tsv	hok_1_DKDN250001570-1A_22W2JCLT3_L5_kegg_hits.tsv	hok_2_DKDN250001571-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_3_DKDN250001572-1A_22VYGNLT3_L3_kegg_hits.tsv	hok_3_DKDN250001572-1A_22W2JCLT3_L1_kegg_hits.tsv	hok_5_DKDN250001573-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_7_DKDN250001574-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_1_DKDN250001565-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_3_DKDN250001566-1A_22VYGNLT3_L3_kegg_hits.tsv	mtz_4_DKDN250001567-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_6_DKDN250001568-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_7_DKDN250001569-1A_22KVLLLT4_L8_kegg_hits.tsv
K01745	0.958255	0.950511	0.976456	0.961835	1.002842	0.957001	0.940787	1.004819	0.883838	1.103513	1.030062	1.023494	1.004978	1.043341	1.076751	0.976841	0.955744	1.063409	1.017247	1.024299	1.031369	1.041053	0.820995	0.823984	0.874708	0.967404	0.954158	0.898720	0.756850	0.906783	0.970084	1.048552	0.961941	1.091713
K01749	1.041789	0.967378	0.974132	1.161208	1.561439	1.073271	1.031174	1.059658	1.086925	1.141431	1.092292	1.021393	1.075466	0.997873	1.042859	1.072321	1.014163	1.046272	1.074551	1.088158	1.072901	1.052726	1.032488	1.091282	1.021561	0.985243	1.036704	1.044662	1.058326	0.932932	1.175336	1.085990	1.038991	1.087171
K01750	0.003000	0.002246	0.000448	0.003540	0.002626	0.000560	0.005140	0.005595	0.024311	0.008662	0.015584	0.005086	0.003039	0.001923	0.000873	0.011570	0.007753	0.002026	0.002447	0.003748	0.008376	0.003161	0.008796	0.010768	0.005982	0.001557	0.004189	0.003562	0.001003	0.059551	0.004288	0.024673	0.021771	0.004681
K01751	1.548592	1.027658	1.001528	1.390730	2.035149	1.239666	1.082391	0.571997	1.128892	1.001627	0.997179	0.989841	0.935905	1.091516	1.139447	1.874153	1.462702	0.893537	1.079880	0.750531	0.507953	0.914124	1.654154	1.631166	1.875288	0.300923	0.309289	1.784024	1.588906	0.343757	0.602164	0.628560	0.520698	1.061287
K01752	0.117323	0.067433	0.059116	0.183762	0.006590	0.002465	0.106580	0.017638	0.043734	0.021706	0.023580	0.021806	0.021479	0.004578	0.005711	0.022983	0.024462	0.004025	0.007832	0.012926	0.026940	0.007585	0.024319	0.022912	0.012620	0.001680	0.006888	0.370544	0.019122	0.209810	0.012226	0.108065	0.249456	0.031374
K01753	0.001897	0.031361	0.036109	0.043647	0.034125	0.041760	0.007882	0.005105	0.010523	0.006761	0.004915	0.004612	0.006587	0.002391	0.005938	0.002572	0.005475	0.001559	0.004366	0.006185	0.009957	0.006032	0.577498	0.588465	0.457899	0.105776	0.110637	0.496504	0.652310	0.035815	0.001525	0.047039	0.193783	0.012719
K01754	4.028425	4.000286	4.052437	4.291405	3.765149	3.973873	4.261423	4.230674	4.802861	4.741173	4.655106	5.645386	5.588185	5.436052	5.486051	4.503777	4.651936	4.434088	4.636629	4.410766	3.966207	4.626385	2.857695	2.830626	2.814639	4.353431	4.337549	3.015790	2.809513	3.663150	4.097544	4.149357	4.223629	4.917475
K01755	1.263946	1.002103	1.026801	1.030442	0.991299	0.943737	0.988636	0.926630	0.899064	0.950202	0.904220	1.009509	1.030924	1.006756	0.985626	0.991704	0.972505	0.965574	1.069285	0.982332	1.023499	1.067618	0.889754	0.854924	1.013354	0.924664	0.936848	1.065186	0.958265	0.971556	0.912202	0.919789	0.896432	0.922430
K01756	1.061366	1.056248	1.055737	1.126247	1.140835	1.033738	1.082619	1.083168	1.145830	1.061039	1.190101	1.149884	1.168384	1.132241	1.085124	1.090759	1.103189	1.060594	1.046568	1.085868	1.014555	1.014406	1.053321	1.042367	1.060496	0.999334	1.038330	1.091790	1.026003	1.028815	1.021200	1.038720	1.081667	1.151618
K01758	0.002588	0.001796	0.001424	0.004486	0.002572	0.000842	0.016659	0.004112	0.009524	0.005232	0.004754	0.010769	0.009976	0.001461	0.001047	0.007486	0.015196	0.003108	0.004461	0.003178	0.011217	0.002630	0.009524	0.008490	0.003677	0.000576	0.000445	0.007327	0.003947	0.033490	0.007077	0.041508	0.012484	0.013801
K01759	1.668227	2.081174	2.019856	1.823909	2.119121	1.751929	1.208050	1.250266	1.133386	1.286823	1.228442	1.222961	1.363829	1.310885	1.208975	1.380247	1.359709	1.738187	1.815416	1.939013	2.064085	1.795876	2.474488	2.483433	2.548372	2.347016	2.306170	2.463212	2.685438	1.496355	1.948373	1.831267	1.700064	1.836905
K01760	1.292221	1.275882	1.231941	1.308487	1.394311	1.127035	0.990081	0.992116	1.040242	1.146490	1.056025	0.974240	1.023348	1.016318	1.051401	0.970030	0.980820	1.018953	1.029721	1.015442	0.996934	0.995791	1.825102	1.692656	1.871207	1.119363	1.131516	1.684815	1.944153	1.319257	0.954838	0.874502	0.944259	1.032088
K01761	1.380521	1.020336	1.049118	1.089144	0.994429	1.324182	1.541158	1.681544	1.638512	1.854522	1.701950	1.751004	1.700439	1.879047	1.818548	1.957201	1.832034	1.735509	1.801731	1.717209	1.627592	1.788565	1.144366	1.112838	1.178510	1.389972	1.403484	1.147846	1.171705	1.459146	1.472770	1.494714	1.670350	1.503453
K01767	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000901	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000318	0.000000	0.000000	0.000000	0.001033	0.000000	0.000000	0.000000	0.000000	0.000636	0.002132	0.000000	0.000469	0.000000	0.000000
K01768	17.234482	16.728695	16.385334	17.186216	17.276810	17.251309	20.962182	20.868711	20.062994	24.127354	22.499510	22.369575	22.043552	22.912468	22.508265	23.117985	21.168870	22.824405	19.508547	23.146111	26.656983	20.966938	14.506117	14.498731	15.210929	21.280785	21.189596	14.801222	14.899121	19.950280	24.058262	23.906403	23.400527	27.187830
K01770	0.005591	0.005136	0.006654	0.003570	0.004769	0.003456	0.016252	0.008194	0.019233	0.006391	0.013049	0.016858	0.016923	0.003959	0.001841	0.020845	0.040413	0.001448	0.007792	0.011457	0.020405	0.005051	0.016891	0.013441	0.004985	0.000878	0.001225	0.007512	0.009553	0.051744	0.008689	0.068782	0.028030	0.017065
K01771	0.000000	0.000000	0.000000	0.000000	0.000457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000605	0.001097	0.000000	0.000000	0.000000	0.001744	0.000205	0.000388	0.000335	0.000139	0.000462	0.000634	0.000713	0.000000	0.000000	0.000000	0.000000	0.000000	0.000630	0.002787	0.000000	0.002861	0.000183	0.000000
K01772	1.028635	0.828734	0.863524	1.030187	0.834812	0.932832	1.013357	1.031485	1.031385	1.068491	1.070820	0.965194	0.999703	1.027141	1.010554	0.991680	0.963293	0.988866	0.997558	0.976556	0.978203	1.008878	0.960927	0.947309	0.973786	0.967785	0.960695	0.891473	0.940173	1.015656	1.236622	1.023696	1.054863	1.039199
K01775	0.880786	0.904817	0.921993	0.890094	0.925667	0.873041	0.881549	1.248583	0.901918	1.054062	1.004972	0.876282	0.870536	0.872025	0.888001	0.885885	0.851961	0.924017	0.917926	0.921120	0.875891	0.901235	0.847768	0.928011	0.836549	0.877801	0.880128	0.867939	0.822449	0.943161	0.829367	1.214409	0.853389	1.048582
K01776	0.960054	0.961137	0.926272	0.987966	1.021090	0.972302	0.943412	0.952320	1.022928	0.951095	1.036878	1.086574	1.063669	1.035121	1.003260	0.987958	0.969619	0.957457	0.988550	1.015439	1.016745	0.990907	0.903236	1.036680	0.926098	1.001867	0.970894	0.938335	0.851712	0.897900	0.914772	0.943131	0.941537	1.110889
K01777	0.001496	0.000432	0.000000	0.000910	0.003512	0.000000	0.005340	0.001007	0.004444	0.002243	0.001516	0.000882	0.001128	0.001408	0.000000	0.004189	0.001671	0.000139	0.001162	0.001844	0.001976	0.001261	0.004294	0.003343	0.001594	0.000593	0.000186	0.003728	0.003294	0.017538	0.004394	0.034593	0.004954	0.008335
K01778	0.906940	0.885648	1.003752	0.901284	0.875104	0.872125	0.894478	0.946432	0.837263	0.942846	0.899623	0.974455	0.922998	0.908457	0.868788	0.969067	0.895620	0.864776	0.884428	0.858718	0.831350	0.903528	0.887717	0.887680	0.872191	0.940448	0.918578	0.889701	0.888704	0.834906	0.863052	0.874321	0.853356	0.806917
K01779	0.368286	0.040126	0.036074	0.255793	0.082964	0.393927	0.068955	0.851951	1.970637	0.869065	0.683876	1.717786	1.638056	1.613558	1.571608	0.861196	1.161813	0.471007	0.205733	0.357045	0.753106	0.227364	0.947661	0.913979	1.028926	0.110261	0.129676	0.614996	0.875919	0.185185	0.737921	0.041166	0.035738	0.016118
K01781	0.794265	0.857544	0.851609	0.891123	0.857992	0.825383	1.311550	0.889525	0.811958	0.904921	1.387618	0.873383	0.858166	0.965666	1.007907	1.707537	1.164774	1.235650	1.053159	1.238842	1.494821	1.063591	1.017406	1.003840	1.099906	0.847704	0.909095	0.931862	1.012925	1.040427	0.882354	0.690952	0.890614	1.201621
K01782	2.284212	2.061758	2.106865	2.134814	1.970484	2.061666	2.246723	2.063435	2.113567	2.239965	2.142376	2.080882	2.110146	2.262904	2.285276	2.018138	2.016491	2.349357	2.106424	2.317135	2.539279	2.201007	1.949761	1.931009	2.063513	2.748665	2.788828	1.949493	1.936163	1.674655	2.207362	1.944739	2.326691	2.893465
K01783	1.314349	1.697448	1.725682	1.478607	1.744136	1.437976	0.931259	0.897441	1.000558	0.904745	0.933180	0.983559	0.989868	0.989604	0.993076	0.952695	0.934436	0.934826	0.887947	0.961849	0.908898	0.932667	1.821273	1.809629	1.752075	0.967762	0.958798	1.784323	1.777728	0.909053	1.163025	0.916306	0.877999	0.685002
K01784	6.512894	6.878279	6.838500	7.292606	6.214561	6.204543	6.318559	6.316810	5.428983	7.029370	6.461368	5.257575	5.128266	5.369283	5.176894	5.626190	5.472371	6.211017	6.337791	6.160767	5.865936	6.224270	5.101963	5.017725	5.284682	5.842863	5.774924	5.577773	4.958247	4.857995	6.366604	5.692095	6.133572	5.532060
K01785	0.941026	1.047457	1.061476	0.998936	1.068136	1.155075	0.963967	0.983646	0.997002	1.065004	0.999554	0.950612	0.967832	0.944609	0.964715	0.990803	0.927601	0.980037	0.948721	0.982349	0.977540	0.984124	1.149742	1.091434	1.183528	0.962233	0.918597	1.052916	1.084095	0.948253	1.276008	1.089632	1.239873	0.901358
K01787	0.001677	0.000127	0.000399	0.000333	0.000110	0.001485	0.000000	0.000396	0.002499	0.000000	0.000728	0.001108	0.002211	0.000000	0.000795	0.001387	0.003694	0.000491	0.001329	0.000733	0.004260	0.001576	0.001796	0.005576	0.000303	0.000000	0.000000	0.000730	0.000247	0.002107	0.000853	0.002058	0.001088	0.000894
K01788	0.000173	0.000323	0.000674	0.000000	0.000000	0.000000	0.002969	0.000350	0.000949	0.000186	0.001943	0.002203	0.000000	0.000585	0.000000	0.000530	0.000546	0.000000	0.000999	0.000000	0.001604	0.000186	0.000663	0.000000	0.000267	0.000000	0.000000	0.002611	0.000552	0.007323	0.000725	0.005222	0.001345	0.000842
K01790	1.496459	1.413333	1.314284	1.440910	1.745381	1.378252	1.276908	1.401420	1.218700	2.162172	1.370350	1.249644	1.270726	1.246275	1.249554	2.162647	1.944364	1.675461	1.893658	1.758521	1.471379	1.940832	1.491771	1.514760	1.554682	1.061172	1.036150	1.265534	1.288697	2.099981	1.600014	1.468297	2.265161	1.550222
K01791	1.326092	1.650553	1.630108	1.335295	0.931212	1.502589	1.201764	1.540845	1.351853	1.237039	1.233141	1.917063	1.849453	1.932930	1.915347	1.238454	1.490593	0.887778	0.926441	0.782633	0.637125	0.896602	0.389515	0.418831	0.639359	0.983408	0.998491	0.779920	0.422640	0.872740	1.201291	1.076670	1.646711	0.157723
K01795	0.000432	0.000000	0.000000	0.000126	0.000000	0.000639	0.000970	0.000438	0.003674	0.000086	0.000917	0.000000	0.000000	0.000000	0.000266	0.001902	0.000450	0.000000	0.000222	0.000098	0.000444	0.001582	0.001019	0.000000	0.000365	0.000451	0.000000	0.000066	0.000787	0.002045	0.000485	0.004574	0.001336	0.000617
K01796	1.277808	0.982974	1.055381	0.977123	1.002603	0.998301	0.916461	1.009614	1.094185	0.993964	1.062579	1.093822	1.092229	1.088252	1.083015	0.988103	0.985835	1.021855	0.970390	0.983739	0.954419	1.006757	1.083550	1.008042	1.101511	1.003204	1.038593	1.028792	1.043410	0.908967	0.991481	1.012475	1.127296	1.005955
K01798	0.000925	0.002083	0.002092	0.003907	0.000792	0.000404	0.002004	0.001251	0.003972	0.000469	0.002215	0.007307	0.005710	0.000435	0.000370	0.004591	0.009903	0.000845	0.005286	0.002648	0.007964	0.002358	0.007369	0.005692	0.000801	0.000000	0.000000	0.001922	0.001362	0.005441	0.000628	0.003699	0.007696	0.002292
K01799	0.562522	1.051175	1.052948	1.032671	1.125528	0.816093	0.055678	0.481782	1.090617	0.029737	0.354380	0.766213	0.777530	0.883565	0.782965	0.020973	0.235607	0.090006	0.157590	0.128559	0.091189	0.163910	1.049924	1.100010	1.084022	0.614071	0.600802	1.042129	1.021537	0.412339	0.393917	0.215057	0.202930	0.028758
K01800	0.085313	0.161202	0.154988	0.141018	0.172724	0.099668	0.011487	0.008645	0.015074	0.005859	0.012103	0.004933	0.007763	0.001007	0.000000	0.008643	0.046641	0.155759	0.065383	0.190789	0.377513	0.122935	0.009828	0.011634	0.008415	0.002559	0.000274	0.057386	0.012878	0.049799	0.004248	0.027376	0.029155	0.009416
K01801	0.437634	0.439987	0.430871	0.517716	0.445814	0.402484	0.745489	0.770668	0.711758	0.790040	0.859751	0.712931	0.739582	0.750900	0.712585	0.744550	0.734093	0.990061	0.975761	0.973515	0.968358	0.984378	0.458763	0.496662	0.560435	0.855054	0.830222	0.451285	0.481338	0.743194	0.745468	0.809536	0.758742	0.906680
K01802	0.329903	0.355427	0.320465	0.346446	0.363943	0.397185	0.370888	0.358997	0.346836	0.328363	0.363341	0.377505	0.420833	0.355643	0.338086	0.362016	0.377128	0.285200	0.235723	0.246092	0.295217	0.244534	0.729154	0.753012	0.721471	0.334625	0.298792	0.594351	0.692022	0.322868	0.604779	0.331882	0.328757	0.350806
K01803	0.954425	0.939557	0.885474	0.963405	0.897532	0.948762	0.939831	0.896561	0.890496	0.876796	0.907986	0.979952	0.974099	0.968453	0.967167	1.001383	0.936073	0.998598	1.014947	1.070413	1.025260	1.004291	0.906922	0.899882	0.856706	0.962211	0.903353	0.884784	0.906425	0.930876	1.004718	0.822668	0.927289	1.007108
K01804	0.004367	0.002919	0.003225	0.009745	0.002189	0.000689	0.008011	0.003956	0.010015	0.001205	0.002551	0.009754	0.006679	0.002054	0.000000	0.005685	0.016615	0.001853	0.008467	0.009537	0.014660	0.007445	0.009610	0.008590	0.003715	0.000468	0.000128	0.009819	0.006529	0.031827	0.001828	0.020674	0.015533	0.005209
K01805	1.018349	0.944098	0.952859	1.009134	1.049475	1.456470	1.108588	1.094705	1.043749	1.088162	1.117664	1.017610	0.945429	0.854657	0.883793	1.031292	0.978936	0.648139	0.865058	0.714102	0.390465	0.879899	0.943303	0.922698	0.946794	1.004548	1.033315	0.911452	0.918222	0.647623	0.530963	0.698314	0.867117	0.060775
K01807	0.912364	0.994174	0.905530	0.895739	0.887778	0.894879	0.872430	0.888133	0.893742	0.830275	0.857638	0.888346	0.924356	0.944635	0.945512	0.977941	0.955681	0.978047	0.945421	0.941134	0.881733	0.925697	0.929895	0.970220	0.913254	0.877397	0.895374	0.937319	0.949143	0.845423	0.914271	0.862963	0.875741	0.882834
K01808	0.247529	0.226837	0.236567	0.377485	0.280977	0.535535	0.557693	0.548794	1.108120	0.080497	0.358685	1.092171	1.055689	1.133998	1.190124	0.949144	0.972062	0.412072	0.125600	0.293407	0.569711	0.191717	0.864415	0.841104	0.997434	0.285931	0.296571	0.673166	0.847760	0.402786	0.407262	0.463430	0.662862	0.763716
K01809	0.012302	0.035170	0.043351	0.053300	0.035237	0.047362	0.486996	0.441003	0.994377	0.024174	0.797404	0.083643	0.083545	0.127822	0.134947	0.184687	0.388539	0.008040	0.015191	0.017993	0.021985	0.014415	0.495815	0.511203	0.436700	0.607695	0.646187	0.467123	0.561917	0.100482	0.016926	0.066096	0.414460	0.030061
K01810	0.016816	0.013141	0.010878	0.023056	0.009495	0.005427	0.078737	0.034692	0.074294	0.029448	0.046198	0.040460	0.039480	0.006857	0.014993	0.048806	0.078867	0.010592	0.022693	0.026089	0.058039	0.025272	0.033747	0.032124	0.015320	0.003862	0.004899	0.035870	0.012077	0.224832	0.024577	0.118776	0.112236	0.047063
K01811	0.005593	0.004942	0.003392	0.006769	0.004050	0.003064	0.007493	0.005216	0.016187	0.005576	0.007262	0.015417	0.012239	0.003812	0.003822	0.010844	0.018718	0.008907	0.008257	0.012090	0.021292	0.008403	0.021221	0.016268	0.003105	0.001331	0.001888	0.008331	0.003681	0.039309	0.006632	0.025040	0.030105	0.007808
K01812	0.007930	0.006982	0.005712	0.013208	0.004760	0.005820	0.019350	0.010462	0.025831	0.009129	0.017544	0.015470	0.020437	0.003276	0.002965	0.017616	0.025037	0.005905	0.010276	0.021678	0.026944	0.012307	0.017427	0.023096	0.006800	0.001274	0.001307	0.010759	0.003571	0.067195	0.008747	0.039814	0.030858	0.013548
K01814	0.913637	0.902411	0.901158	0.843535	0.877507	0.981302	0.885530	0.988004	1.134042	0.920278	0.924322	1.025351	1.026665	1.087019	1.065327	0.879674	0.929752	0.976683	0.876379	0.933629	0.966520	0.943591	0.923724	0.902224	0.963349	0.891587	0.985262	0.884356	0.905968	0.943502	0.925860	0.989510	0.943195	0.945891
K01815	0.011553	0.003883	0.004555	0.019964	0.007209	0.004654	0.022714	0.013094	0.047271	0.014049	0.031968	0.016628	0.016820	0.005923	0.006512	0.024292	0.034046	0.003960	0.006711	0.024335	0.028652	0.017217	0.022718	0.025139	0.011790	0.003205	0.001973	0.011013	0.005564	0.095957	0.010014	0.036597	0.034838	0.016645
K01816	1.062476	1.037614	1.075603	1.123893	1.099926	1.093743	0.984422	1.016359	1.044894	1.059633	1.121996	1.038338	1.020047	1.062449	1.095461	1.038959	1.028481	1.041845	1.019267	1.079878	1.013236	1.070586	0.994613	1.041754	1.095798	1.046178	0.980146	1.020483	1.036058	0.973996	1.004007	1.075764	1.024531	1.024111
K01817	0.889916	0.935923	0.934171	0.898654	1.015255	1.346599	0.916062	0.871497	0.806302	0.791577	0.881625	0.951422	0.929358	0.920950	1.006330	0.896426	0.893399	0.879686	0.903439	0.900419	0.882135	0.939376	0.950775	1.001681	0.896851	0.971120	0.966056	0.860961	0.891832	0.796846	1.216365	0.790472	0.863468	0.612664
K01818	0.000863	0.001055	0.000656	0.000097	0.000443	0.000659	0.001980	0.000436	0.001618	0.000315	0.000000	0.001252	0.000866	0.000095	0.000000	0.001644	0.000619	0.000603	0.000979	0.001202	0.000721	0.000985	0.001374	0.001057	0.000426	0.000315	0.000000	0.000960	0.000162	0.003821	0.000817	0.002468	0.000188	0.000157
K01820	0.008314	0.005441	0.004077	0.009423	0.005106	0.004134	0.019128	0.014614	0.030668	0.014834	0.020946	0.010534	0.012819	0.002494	0.001431	0.022421	0.023921	0.004023	0.011527	0.018814	0.026138	0.013138	0.019118	0.016747	0.009772	0.001215	0.002310	0.012983	0.005385	0.095985	0.011809	0.039382	0.034525	0.012298
K01821	2.977851	3.630807	3.634226	3.471416	3.335460	3.246922	3.556845	3.008496	3.904460	2.722774	3.435149	3.484072	3.414216	3.171474	3.216642	4.011928	3.574705	4.349020	3.575980	4.451330	5.060673	4.042529	2.634088	2.478048	2.781928	3.366225	3.210724	3.034626	2.690619	2.275931	2.474862	2.614189	3.256723	2.860509
K01822	0.000779	0.000000	0.000000	0.003103	0.000000	0.000786	0.006140	0.002733	0.000721	0.000782	0.000868	0.002260	0.000000	0.001354	0.000000	0.001204	0.004176	0.001562	0.000386	0.003354	0.003449	0.000440	0.000903	0.002240	0.001110	0.000000	0.000000	0.000933	0.000662	0.017575	0.000946	0.043322	0.002991	0.002614
K01823	0.005109	0.427901	0.416170	0.013025	0.023896	0.303401	0.012017	0.005019	0.012693	0.008025	0.008698	0.007915	0.011607	0.002253	0.000000	0.010736	0.019557	0.002137	0.006001	0.009609	0.015678	0.002928	0.072500	0.090270	0.002610	0.002577	0.000000	0.006489	0.002984	0.060691	0.219995	0.026853	0.020284	0.015004
K01825	0.001969	0.000602	0.000432	0.002521	0.000271	0.000185	0.002446	0.000981	0.009425	0.001531	0.001823	0.003747	0.002622	0.001199	0.000869	0.001809	0.004658	0.001426	0.001815	0.006547	0.005485	0.005183	0.002228	0.001547	0.000813	0.000270	0.000000	0.001270	0.000106	0.006005	0.000943	0.014516	0.003290	0.003791
K01826	0.925847	1.033520	0.923553	0.967860	0.977695	0.994561	0.980407	0.984843	0.892245	1.002724	1.036779	0.978518	0.902928	0.976712	0.940612	0.955864	0.948322	0.970710	0.952333	0.978788	0.946807	0.991553	0.981164	0.973269	1.195125	0.967070	0.899432	1.052821	1.015663	0.803805	0.918090	0.984291	0.936873	0.691670
K01834	1.076721	1.109530	1.032304	1.159778	1.118997	1.131203	1.015007	1.076237	1.003472	1.063559	1.067412	1.029975	1.031580	1.053210	1.083441	0.978072	0.981994	0.992616	0.948858	0.941635	0.936267	0.993541	1.007563	0.969031	1.067027	1.089874	1.054217	1.027566	0.995734	1.009806	1.014981	1.023710	0.953310	1.040896
K01835	0.959824	1.026646	1.014202	0.980504	0.928415	0.991578	0.972654	1.004548	0.976184	1.020617	0.985147	0.930949	0.949079	1.005338	0.990395	0.994162	0.941367	1.016481	0.971186	1.036669	0.971715	1.028803	1.077037	1.101870	1.025145	0.979324	0.964027	1.000185	1.029468	0.900238	0.951355	0.897880	0.985651	0.809772
K01838	0.002912	0.001719	0.002697	0.003941	0.001833	0.001685	0.017771	0.006164	0.021324	0.011762	0.015588	0.017211	0.006390	0.002603	0.000695	0.009060	0.020469	0.002626	0.006279	0.005909	0.009517	0.004206	0.009678	0.010559	0.002224	0.000000	0.000565	0.003574	0.002054	0.035920	0.004058	0.022618	0.018181	0.012206
K01839	1.021892	0.972899	0.924511	0.967823	0.985126	1.025343	0.736247	0.497896	1.063273	0.994762	0.862373	0.877311	0.907751	0.969580	0.930442	0.966172	0.768043	1.190555	1.095375	0.985893	1.022089	0.991277	1.020504	1.026848	1.049249	1.890298	1.801247	1.042136	1.056267	0.937676	1.010665	1.015240	0.980931	0.841942
K01840	0.010707	0.010209	0.005633	0.017512	0.006693	0.005159	0.039939	0.022504	0.048300	0.022766	0.033696	0.032114	0.020040	0.005453	0.011357	0.044739	0.043197	0.006665	0.011007	0.026445	0.045725	0.023413	0.025439	0.025439	0.013691	0.002430	0.003780	0.022615	0.008740	0.154887	0.023011	0.099509	0.078996	0.034409
K01841	3.742915	2.860308	2.709612	3.344974	2.998603	3.578022	3.210543	4.554907	5.422192	3.392281	3.886637	4.759376	4.576563	4.578834	4.514435	3.743788	4.102674	2.993000	3.530535	3.113909	2.679799	3.413306	1.772603	1.745975	1.657798	3.076969	2.944611	2.247066	2.268922	2.436625	3.009239	2.543399	2.503073	2.316107
K01843	0.985738	1.041827	1.014456	0.963454	0.882920	1.137851	1.263595	0.946901	0.951037	0.939682	0.885220	0.973830	0.935673	1.098096	1.052532	1.250689	1.067549	0.998801	0.984706	0.993486	0.967972	1.009946	1.001747	1.028407	0.853457	0.969224	0.930679	0.929520	0.948284	0.810500	1.179603	0.798485	1.107085	0.717082
K01845	2.599057	2.142500	2.058744	2.239313	1.590966	2.612064	4.271825	3.792615	2.733190	3.986526	3.625065	3.052520	2.917133	3.039327	2.978011	3.292466	3.457547	3.211889	3.078824	3.162223	3.328959	2.992242	2.351284	2.329641	2.604658	3.523755	3.408334	1.923228	2.154944	3.694438	3.304077	3.890746	4.759416	3.993133
K01846	0.000000	0.000919	0.000000	0.000000	0.000000	0.000000	0.000000	0.024695	0.000000	0.000970	0.000000	0.000000	0.001847	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000255	0.000486	0.000000	0.000000	0.000000	0.019003
K01847	2.164965	2.078271	2.088913	2.043825	2.526828	2.052197	1.969823	2.167946	2.112431	2.375461	2.225370	2.131699	2.165453	2.177324	2.177674	2.135720	2.082856	2.150026	2.108400	2.096922	1.983448	2.069757	1.918278	1.918477	1.950262	2.017113	2.055213	1.935885	1.879736	1.755347	2.000174	1.993801	1.986874	2.070981
K01848	0.006199	0.001483	0.004189	0.004986	0.002745	0.015665	0.022903	0.007790	0.007627	0.002833	0.002568	0.009042	0.006275	0.001682	0.001128	0.004824	0.012524	0.000793	0.002232	0.002852	0.008185	0.002412	0.005560	0.006839	0.002024	0.001871	0.000767	0.007093	0.003318	0.032843	0.004422	0.054245	0.017212	0.011359
K01849	0.021598	0.001326	0.002611	0.003199	0.113582	0.000000	0.027451	0.010860	0.006900	0.002089	0.008623	0.009459	0.009622	0.001120	0.000000	0.004765	0.019224	0.000989	0.002141	0.004616	0.007928	0.007676	0.005482	0.004966	0.000922	0.000000	0.000000	0.013833	0.001211	0.031879	0.004700	0.038216	0.020747	0.012494
K01854	0.007194	0.006336	0.005284	0.009151	0.005157	0.004634	0.066968	0.017843	0.046280	0.019461	0.028850	0.037409	0.032779	0.004387	0.001794	0.030904	0.055056	0.006071	0.010249	0.015884	0.025453	0.012570	0.013859	0.019948	0.007613	0.002058	0.001016	0.022991	0.004319	0.172678	0.101163	0.086112	0.079081	0.040546
