Treatment	Sample	Organism	Bin_Prefixed	Bin	Relative_Abundance	classification	domain	completeness	contamination	n50	size
RH	RH_1	Endophyte	RH_binette_bin3	binette_bin3	0.13265	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	50.41	8.45	1236	3015805
RH	RH_8	Symbiont	RH_binette_bin1	binette_bin1	56.701571	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	89.86	3.02	8731	9155893
RH	RH_8	Symbiont	RH_binette_bin2	binette_bin2	43.24486	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	79.36	8.71	3689	6791596
RH	RH_8	Endophyte	RH_binette_bin3	binette_bin3	0.053569	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	50.41	8.45	1236	3015805
ces	ces_5	Symbiont	ces_binette_bin1	binette_bin1	67.36935	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	99.95	0.05	53908	7311114
ces	ces_5	Endophyte	ces_binette_bin2	binette_bin2	0.534587	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	100	0.11	82987	4505973
ces	ces_5	Endophyte	ces_binette_bin3	binette_bin3	0.260941	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	95.98	1.17	7925	2993746
ces	ces_5	Endophyte	ces_binette_bin4	binette_bin4	0.323048	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	95.78	3.3	7147	3362438
ces	ces_5	Symbiont	ces_binette_bin5	binette_bin5	31.321126	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	83	1.4	19046	7769520
ces	ces_5	Endophyte	ces_binette_bin6	binette_bin6	0.190948	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	79.71	0.19	8522	3053491
