KO,Metric,MeanImp,SpearmanRho,Pvalue,Description,Pathways,Modules,BRITE_L1,BRITE_L2,BRITE_L3,in_symbiont,symbiont_label
K00836,richness,2.6216491517903187,-0.7317,6.491e-6,"ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]","Glycine, serine and threonine metabolism; Biosynthesis of various siderophores; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids","Ectoine biosynthesis, aspartate => ectoine; Schizokinen biosynthesis, glutamate => schizokinen",Metabolism; Brite Hierarchies,Amino acid metabolism; Biosynthesis of other secondary metabolites; Protein families: metabolism,"Glycine, serine and threonine metabolism; Biosynthesis of various siderophores; Amino acid related enzymes",TRUE,Symbiont-encoded
K23773,richness,2.5991233756918826,-0.7057,1.902e-5,"hdfR; LysR family transcriptional regulator, flagellar master operon regulator",NA,NA,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,TRUE,Symbiont-encoded
K07056,richness,2.5957275761924983,-0.6133,4.038e-4,rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198],NA,NA,Brite Hierarchies,Protein families: genetic information processing,Ribosome biogenesis,TRUE,Symbiont-encoded
K09004,richness,2.5680435816395097,-0.5119,0.00453,K09004; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,TRUE,Symbiont-encoded
K00507,richness,2.5649340742670694,-0.8585,2.582e-9,"SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]",Biosynthesis of unsaturated fatty acids; Metabolic pathways; Fatty acid metabolism; PPAR signaling pathway; AMPK signaling pathway; Longevity regulating pathway - worm; Alcoholic liver disease,NA,Metabolism; Environmental Information Processing; Organismal Systems; Human Diseases; Brite Hierarchies,Lipid metabolism; Signal transduction; Endocrine system; Aging; Endocrine and metabolic disease; Protein families: metabolism,Biosynthesis of unsaturated fatty acids; AMPK signaling pathway; PPAR signaling pathway; Longevity regulating pathway - worm; Alcoholic liver disease; Lipid biosynthesis proteins,TRUE,Symbiont-encoded
K11910,richness,2.5545485711491875,-0.5723,0.001178,vasJ; type VI secretion system protein VasJ,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Secretion system,TRUE,Symbiont-encoded
K03599,richness,2.5373871829384997,0.7961,2.422e-7,"sspA, mglA; stringent starvation protein A",NA,NA,Brite Hierarchies,Protein families: genetic information processing; Protein families: signaling and cellular processes,Transcription machinery; Transporters,FALSE,Not in symbiont
K00656,richness,2.5300953689865504,0.5893,7.687e-4,"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]",Pyruvate metabolism; Propanoate metabolism; Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments,NA,Metabolism,Carbohydrate metabolism,Pyruvate metabolism; Propanoate metabolism; Butanoate metabolism,TRUE,Symbiont-encoded
K01821,richness,2.5063073144877954,-0.6058,4.965e-4,"praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]",Benzoate degradation; Dioxin degradation; Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",Metabolism,Xenobiotics biodegradation and metabolism,Benzoate degradation; Xylene degradation; Dioxin degradation,TRUE,Symbiont-encoded
K06212,richness,2.5016088012226816,0.6038,5.242e-4,focA; formate transporter,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,TRUE,Symbiont-encoded
K19222,richness,2.4854738084036585,-0.8148,7.43e-8,"menI, DHNAT; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]",Ubiquinone and other terpenoid-quinone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol; Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol",Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis,TRUE,Symbiont-encoded
K13669,richness,2.4612909919354196,-0.5736,0.001142,"pimE; alpha-1,2-mannosyltransferase [EC:2.4.1.-]",Lipoarabinomannan (LAM) biosynthesis; Metabolic pathways,NA,Metabolism; Brite Hierarchies,Glycan biosynthesis and metabolism; Protein families: metabolism,Lipoarabinomannan (LAM) biosynthesis; Glycosyltransferases,FALSE,Not in symbiont
K03719,richness,2.363347836645039,-0.8333,2.02e-8,"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",NA,NA,Brite Hierarchies,Protein families: genetic information processing,Transcription factors; Chromosome and associated proteins,TRUE,Symbiont-encoded
K00138,richness,2.3341599745269894,-0.6203,3.314e-4,aldB; aldehyde dehydrogenase [EC:1.2.1.-],Glycolysis / Gluconeogenesis; Pyruvate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments,NA,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism,TRUE,Symbiont-encoded
K04033,richness,2.2898207204703365,-0.5718,0.001192,"eutR; AraC family transcriptional regulator, ethanolamine operon transcriptional activator",NA,NA,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,TRUE,Symbiont-encoded
K11106,richness,2.2883935121315213,-0.3988,0.03212,ttdT; L-tartrate/succinate antiporter,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,TRUE,Symbiont-encoded
K19997,richness,2.2775607695017803,-0.4794,0.008497,gnu; GlcNAc-P-P-Und epimerase [EC:5.1.3.26],NA,NA,Brite Hierarchies,Protein families: metabolism,Lipopolysaccharide biosynthesis proteins,TRUE,Symbiont-encoded
K11932,richness,2.2492137349440435,-0.7292,7.236e-6,uspG; universal stress protein G,NA,NA,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,Signaling proteins,FALSE,Not in symbiont
K13671,richness,2.2317892685657705,-0.6535,1.211e-4,"K13671; alpha-1,2-mannosyltransferase [EC:2.4.1.-]",Lipoarabinomannan (LAM) biosynthesis,NA,Metabolism; Brite Hierarchies,Glycan biosynthesis and metabolism; Protein families: metabolism,Lipoarabinomannan (LAM) biosynthesis; Glycosyltransferases,FALSE,Not in symbiont
K21137,richness,2.2104003373979366,-0.0192,0.9211,"triB; membrane fusion protein, multidrug efflux system",NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,TRUE,Symbiont-encoded
K21185,richness,2.198920836568552,-0.4462,0.01525,"sgcE6, mdpE6, kedE6; flavin reductase",Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites,"C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP; Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP",Metabolism; Brite Hierarchies,Metabolism of terpenoids and polyketides; Protein families: metabolism,Biosynthesis of enediyne antibiotics; Polyketide biosynthesis proteins,TRUE,Symbiont-encoded
K06991,richness,2.190518306119198,0.6028,5.386e-4,K06991; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,TRUE,Symbiont-encoded
K21136,richness,2.184000514294773,0.0564,0.7712,"triA; membrane fusion protein, multidrug efflux system",NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,TRUE,Symbiont-encoded
K08691,richness,2.165383075356847,-0.474,0.009396,mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25],Glyoxylate and dicarboxylate metabolism; C5-Branched dibasic acid metabolism; Methane metabolism; Other carbon fixation pathways; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism,"Formaldehyde assimilation, serine pathway; Ethylmalonyl pathway; 3-Hydroxypropionate bi-cycle",Metabolism,Carbohydrate metabolism; Energy metabolism,Glyoxylate and dicarboxylate metabolism; C5-Branched dibasic acid metabolism; Other carbon fixation pathways; Methane metabolism,FALSE,Not in symbiont
K05770,richness,2.164210856529042,-0.5609,0.001552,"TSPO, BZRP; translocator protein",Neuroactive ligand-receptor interaction; Apoptosis - fly; Cholesterol metabolism; Human T-cell leukemia virus 1 infection,NA,Environmental Information Processing; Cellular Processes; Organismal Systems; Human Diseases; Brite Hierarchies,Signaling molecules and interaction; Cell growth and death; Digestive system; Infectious disease: viral; Protein families: signaling and cellular processes,Neuroactive ligand-receptor interaction; Apoptosis - fly; Cholesterol metabolism; Human T-cell leukemia virus 1 infection; Transporters,TRUE,Symbiont-encoded
K05814,richness,2.1612225875759368,-0.8573,2.884e-9,ugpA; sn-glycerol 3-phosphate transport system permease protein,ABC transporters,NA,Environmental Information Processing; Brite Hierarchies,Membrane transport; Protein families: signaling and cellular processes,ABC transporters; Transporters,TRUE,Symbiont-encoded
K05815,richness,2.144303384959174,-0.8603,2.207e-9,ugpE; sn-glycerol 3-phosphate transport system permease protein,ABC transporters,NA,Environmental Information Processing; Brite Hierarchies,Membrane transport; Protein families: signaling and cellular processes,ABC transporters; Transporters,TRUE,Symbiont-encoded
K18702,richness,2.1399390951648916,-0.5851,8.571e-4,uctC; CoA:oxalate CoA-transferase [EC:2.8.3.19],NA,NA,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC numbers,TRUE,Symbiont-encoded
K00455,richness,2.1381175971092055,-0.4755,0.009143,"hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]",Tyrosine metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds,"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",Metabolism,Amino acid metabolism,Tyrosine metabolism,TRUE,Symbiont-encoded
K01674,richness,2.1330540332709154,-0.5152,0.00424,cah; carbonic anhydrase [EC:4.2.1.1],Nitrogen metabolism; Metabolic pathways,NA,Metabolism,Energy metabolism,Nitrogen metabolism,TRUE,Symbiont-encoded
K21747,richness,2.1302647045329053,0.5833,8.96e-4,"alkR; AraC family transcriptional regulator, alkane utilization regulator",NA,NA,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,FALSE,Not in symbiont
